CNT,CNTSCHID,CNTSTUID,RTML_mean,ESCS,ST011Q01TA,ST004D01T,ST001D01T,RATCMP1,RATCMP2,EDUSHORT
NOR,57800052.0,57800298.0,661.4375,0.5474,1.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800072.0,57800300.0,558.4816,1.2421,1.0,2.0,10.0,1.0,1.0,-0.2376
NOR,57800167.0,57800302.0,430.4441,1.4003,1.0,1.0,10.0,1.0,1.0,-0.0703
NOR,57800149.0,57800303.0,407.3905,-0.6833,1.0,1.0,10.0,,,
NOR,57800157.0,57800304.0,543.7515999999999,1.1096,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800113.0,57800305.0,531.2273,-0.1567,1.0,1.0,10.0,1.3158,1.0,0.4292
NOR,57800208.0,57800306.0,601.1705999999999,1.5382,1.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800113.0,57800307.0,635.1365,0.8273,1.0,1.0,10.0,1.3158,1.0,0.4292
NOR,57800215.0,57800308.0,482.3959,-0.0149,1.0,1.0,10.0,1.0,1.0,0.7452
NOR,57800066.0,57800310.0,365.5080999999999,0.3914,1.0,2.0,10.0,1.1316,1.0,-1.4212
NOR,57800191.0,57800311.0,655.2077999999999,1.2333,1.0,2.0,10.0,0.8163,1.0,0.1312
NOR,57800042.0,57800312.0,360.72920000000005,-0.0048,1.0,2.0,10.0,0.6034,1.0,0.4292
NOR,57800071.0,57800313.0,602.8815999999999,0.902,1.0,1.0,10.0,0.3846,1.0,1.7368
NOR,57800240.0,57800314.0,450.33180000000004,0.8045,1.0,1.0,10.0,1.0784,1.0,1.2478
